ParticipantNumber,SPQ_0,SPQ_1,SPQ_10,SPQ_11
P01,28.0,28.5,37.16666666666666,35.5
P02,33.166666666666664,30.666666666666668,22.5,30.33333333333333
P03,25.166666666666668,33.5,20.0,33.5
P04,22.0,34.5,18.83333333333333,35.0
P05,24.33333333333333,28.666666666666668,24.5,28.0
P06,34.166666666666664,36.333333333333336,37.333333333333336,35.833333333333336
P07,20.83333333333333,21.33333333333333,25.5,22.0
P08,9.333333333333334,30.0,10.666666666666666,31.166666666666668
P09,10.0,23.5,13.333333333333334,23.5
P10,27.33333333333333,26.33333333333333,27.166666666666668,28.33333333333333
P11,28.166666666666668,32.0,26.0,32.666666666666664
P12,23.166666666666668,23.166666666666668,18.83333333333333,24.33333333333333
P13,24.166666666666668,37.333333333333336,34.833333333333336,38.0
P14,20.666666666666668,24.83333333333333,23.666666666666668,28.83333333333333
P15,28.33333333333333,26.0,32.333333333333336,33.166666666666664
P16,21.0,26.33333333333333,23.5,29.0
P17,27.0,29.83333333333333,28.666666666666668,26.666666666666668
P18,28.0,24.83333333333333,28.5,22.5
P19,28.166666666666668,26.5,17.666666666666668,17.5
P20,11.833333333333334,20.166666666666668,20.666666666666668,26.33333333333333
P21,34.166666666666664,40.0,23.5,40.66666666666666
P22,29.5,28.0,26.5,32.166666666666664
P23,19.0,23.83333333333333,31.83333333333333,27.666666666666668
P24,23.5,21.0,25.5,24.166666666666668
P25,31.666666666666668,34.166666666666664,35.166666666666664,31.166666666666668
P26,26.5,28.83333333333333,19.5,28.166666666666668
P27,15.5,22.83333333333333,10.5,21.83333333333333
P28,21.5,26.666666666666668,19.33333333333333,18.666666666666668
P29,18.666666666666668,15.333333333333334,11.833333333333334,20.83333333333333
P30,20.33333333333333,30.33333333333333,29.666666666666668,31.83333333333333
P31,26.5,26.33333333333333,25.33333333333333,25.0
P32,25.0,28.666666666666668,28.83333333333333,32.0
