ParticipantNumber,S1_CoPresence_0,S1_CoPresence_1,S1_CoPresence_10,S1_CoPresence_11,S2_Attention_0,S2_Attention_1,S2_Attention_10,S2_Attention_11,S3_Message_0,S3_Message_1,S3_Message_10,S3_Message_11,S4_Affection_0,S4_Affection_1,S4_Affection_10,S4_Affection_11,S5_Emotion_0,S5_Emotion_1,S5_Emotion_10,S5_Emotion_11,S6_Behavior_0,S6_Behavior_1,S6_Behavior_10,S6_Behavior_11,SPQ_0,SPQ_1,SPQ_10,SPQ_11,SPQ_SectionAverage_0,SPQ_SectionAverage_1,SPQ_SectionAverage_10,SPQ_SectionAverage_11
P01,40,41,39,42,36,33,34,31,7,9,39,38,10,11,38,35,35,39,38,35,40,38,35,32,168,171,223,213,28.0,28.5,37.16666666666666,35.5
P02,42,42,26,39,26,27,20,18,28,35,38,32,34,33,29,40,32,11,16,21,37,36,6,32,199,184,135,182,33.166666666666664,30.666666666666668,22.5,30.33333333333333
P03,34,36,26,40,9,31,10,26,25,32,14,35,25,34,18,33,32,30,22,29,26,38,30,38,151,201,120,201,25.166666666666668,33.5,20.0,33.5
P04,42,42,35,42,19,26,21,29,14,37,14,40,9,33,8,36,14,27,8,21,34,42,27,42,132,207,113,210,22.0,34.5,18.83333333333333,35.0
P05,30,32,20,35,17,24,14,20,38,40,38,37,17,21,33,32,16,27,13,14,28,28,29,30,146,172,147,168,24.33333333333333,28.666666666666668,24.5,28.0
P06,38,40,41,40,30,23,28,24,36,40,40,37,30,39,35,35,34,38,38,39,37,38,42,40,205,218,224,215,34.166666666666664,36.333333333333336,37.333333333333336,35.833333333333336
P07,23,25,27,23,21,24,18,20,20,10,20,20,16,22,26,12,22,23,31,26,23,24,31,31,125,128,153,132,20.83333333333333,21.33333333333333,25.5,22.0
P08,9,39,8,42,16,25,17,30,6,38,7,32,6,16,16,21,10,21,10,24,9,41,6,38,56,180,64,187,9.333333333333334,30.0,10.666666666666666,31.166666666666668
P09,14,42,23,40,12,25,16,17,18,34,20,37,4,4,4,4,6,6,6,6,6,30,11,37,60,141,80,141,10.0,23.5,13.333333333333334,23.5
P10,30,30,29,28,25,25,24,29,34,24,38,38,16,17,16,15,27,32,25,27,32,30,31,33,164,158,163,170,27.33333333333333,26.33333333333333,27.166666666666668,28.33333333333333
