partiNumber,trialNumber,blockNumber,rewardType,handShow,pairClickCount,successCount,failCount,stalemate,gameClear,playTime,P1_realPoints,P2_realPoints,P1_earnedPoints,P2_earnedPoints,FOC,competitiveness,rewardFairness, P1_accScore, P2_accScore,condition
P10,0.0,0.0,1.0,1.0,10.0,6.0,4.0,False,True,23.0131,10.0,6.0,5.0,5.0,9.0,9.0,8.0,5.0,5.0,11
P10,2.0,0.0,1.0,1.0,10.0,8.0,2.0,False,True,18.18363,8.0,8.0,5.0,5.0,9.0,9.0,9.0,10.0,10.0,11
P10,3.0,0.0,1.0,1.0,9.0,9.0,0.0,True,True,14.3534,7.0,9.0,5.0,5.0,9.0,9.0,9.0,15.0,15.0,11
P10,4.0,0.0,1.0,1.0,11.0,7.0,4.0,True,True,18.433,9.0,7.0,5.0,5.0,9.0,9.0,9.0,20.0,20.0,11
P10,5.0,0.0,1.0,1.0,10.0,10.0,0.0,False,True,18.1414,6.0,10.0,5.0,5.0,9.0,4.0,9.0,25.0,25.0,11
P10,6.0,0.0,1.0,1.0,10.0,8.0,2.0,False,True,17.15237,8.0,8.0,5.0,5.0,9.0,4.0,9.0,30.0,30.0,11
P10,7.0,0.0,1.0,1.0,8.0,8.0,0.0,False,True,12.75055,8.0,8.0,5.0,5.0,9.0,9.0,9.0,35.0,35.0,11
P10,8.0,0.0,1.0,1.0,10.0,8.0,2.0,False,True,15.14646,8.0,8.0,5.0,5.0,9.0,9.0,9.0,40.0,40.0,11
P10,9.0,0.0,1.0,1.0,8.0,8.0,0.0,False,True,13.36503,8.0,8.0,5.0,5.0,9.0,9.0,9.0,45.0,45.0,11
P10,10.0,0.0,1.0,1.0,9.0,7.0,2.0,True,True,12.68289,9.0,7.0,5.0,5.0,9.0,9.0,9.0,50.0,50.0,11
P10,11.0,0.0,1.0,1.0,8.0,8.0,0.0,False,True,11.76369,8.0,8.0,5.0,5.0,9.0,9.0,9.0,55.0,55.0,11
P10,12.0,0.0,1.0,1.0,9.0,9.0,0.0,True,True,13.85282,7.0,9.0,5.0,5.0,9.0,9.0,9.0,60.0,60.0,11
P10,13.0,0.0,1.0,1.0,9.0,9.0,0.0,True,True,11.87492,9.0,7.0,5.0,5.0,9.0,9.0,9.0,65.0,65.0,11
P10,14.0,0.0,1.0,1.0,8.0,8.0,0.0,False,True,11.47233,8.0,8.0,5.0,5.0,9.0,9.0,9.0,70.0,70.0,11
P10,15.0,0.0,1.0,1.0,8.0,8.0,0.0,False,True,12.71045,8.0,8.0,5.0,5.0,9.0,9.0,9.0,75.0,75.0,11
P10,16.0,0.0,1.0,1.0,8.0,8.0,0.0,False,True,11.97274,8.0,8.0,5.0,5.0,9.0,9.0,9.0,80.0,80.0,11
P10,17.0,0.0,1.0,1.0,9.0,7.0,2.0,True,True,12.25112,9.0,7.0,5.0,5.0,9.0,9.0,9.0,85.0,85.0,11
P10,18.0,0.0,1.0,1.0,8.0,8.0,0.0,False,True,12.04338,8.0,8.0,5.0,5.0,9.0,9.0,9.0,90.0,90.0,11
P10,19.0,0.0,1.0,1.0,10.0,8.0,2.0,False,True,14.18614,8.0,8.0,5.0,5.0,9.0,9.0,9.0,95.0,95.0,11
P10,20.0,1.0,1.0,0.0,10.0,8.0,2.0,False,True,15.621,8.0,8.0,5.0,5.0,9.0,9.0,9.0,100.0,100.0,10
P10,21.0,1.0,1.0,0.0,8.0,8.0,0.0,False,True,11.79204,8.0,8.0,5.0,5.0,9.0,9.0,9.0,105.0,105.0,10
P10,22.0,1.0,1.0,0.0,8.0,8.0,0.0,False,True,11.23483,8.0,8.0,5.0,5.0,9.0,9.0,9.0,110.0,110.0,10
P10,23.0,1.0,1.0,0.0,8.0,8.0,0.0,False,True,11.33269,8.0,8.0,5.0,5.0,9.0,9.0,9.0,115.0,115.0,10
P10,24.0,1.0,1.0,0.0,15.0,7.0,8.0,True,True,21.60796,11.0,5.0,5.0,5.0,9.0,9.0,9.0,120.0,120.0,10
P10,25.0,1.0,1.0,0.0,8.0,8.0,0.0,False,True,10.97055,8.0,8.0,5.0,5.0,9.0,9.0,9.0,125.0,125.0,10
P10,26.0,1.0,1.0,0.0,8.0,8.0,0.0,False,True,14.54917,8.0,8.0,5.0,5.0,9.0,9.0,9.0,130.0,130.0,10
P10,27.0,1.0,1.0,0.0,7.0,7.0,0.0,True,True,11.90378,9.0,7.0,5.0,5.0,8.0,8.0,9.0,135.0,135.0,10
P10,28.0,1.0,1.0,0.0,8.0,8.0,0.0,False,True,11.63943,8.0,8.0,5.0,5.0,9.0,9.0,9.0,140.0,140.0,10
P10,29.0,1.0,1.0,0.0,9.0,7.0,2.0,True,True,13.37998,9.0,7.0,5.0,5.0,9.0,9.0,9.0,145.0,145.0,10
P10,30.0,1.0,1.0,0.0,8.0,8.0,0.0,False,True,13.1565,8.0,8.0,5.0,5.0,9.0,9.0,9.0,150.0,150.0,10
P10,31.0,1.0,1.0,0.0,8.0,8.0,0.0,False,True,11.54114,8.0,8.0,5.0,5.0,9.0,9.0,9.0,155.0,155.0,10
P10,32.0,1.0,1.0,0.0,10.0,8.0,2.0,False,True,17.96052,8.0,8.0,5.0,5.0,9.0,9.0,9.0,160.0,160.0,10
P10,33.0,1.0,1.0,0.0,8.0,8.0,0.0,False,True,11.20765,8.0,8.0,5.0,5.0,9.0,9.0,9.0,165.0,165.0,10
P10,34.0,1.0,1.0,0.0,10.0,10.0,0.0,False,True,15.66277,6.0,10.0,5.0,5.0,9.0,9.0,9.0,170.0,170.0,10
P10,35.0,1.0,1.0,0.0,8.0,8.0,0.0,False,True,11.75085,8.0,8.0,5.0,5.0,9.0,9.0,9.0,175.0,175.0,10
P10,36.0,1.0,1.0,0.0,10.0,8.0,2.0,False,True,14.81388,8.0,8.0,5.0,5.0,9.0,9.0,9.0,180.0,180.0,10
P10,37.0,1.0,1.0,0.0,8.0,8.0,0.0,False,True,11.2488,8.0,8.0,5.0,5.0,9.0,9.0,9.0,185.0,185.0,10
P10,38.0,1.0,1.0,0.0,8.0,8.0,0.0,False,True,11.08113,8.0,8.0,5.0,5.0,9.0,9.0,9.0,190.0,190.0,10
P10,39.0,1.0,1.0,0.0,8.0,8.0,0.0,False,True,13.88021,8.0,8.0,5.0,5.0,9.0,9.0,9.0,195.0,195.0,10
P10,40.0,2.0,0.0,1.0,8.0,6.0,2.0,False,True,12.89225,10.0,6.0,7.0,3.0,6.0,1.0,7.0,202.0,198.0,1
P10,41.0,2.0,0.0,1.0,12.0,10.0,2.0,False,True,17.61116,6.0,10.0,3.0,7.0,4.0,1.0,8.0,205.0,205.0,1
