partiNumber,FOC_0,FOC_1,FOC_10,FOC_11,competitiveness_0,competitiveness_1,competitiveness_10,competitiveness_11,rewardFairness_0,rewardFairness_1,rewardFairness_10,rewardFairness_11
P01,3.9,4.2,8.45,8.4,3.55,3.45,8.35,8.55,6.5,6.8,8.7,8.45
P02,9,9,9,8,8.6,7.65,9,7.9,9,8.9,8.6,7.65
P03,6.15,7.9,5.9,7.35,4.8,6.5,5.6,7.4,7.5,7.7,6.05,8.15
P04,6.8,8.95,7.9,8.8,6.3,8.95,8.2,8.75,7.35,9,5.45,8.5
P05,8.5,9,8.9,8.95,8.5,8.6,8.95,8.95,8.8,9,9,9
P06,8.7,9,9,8.95,5.55,8.05,8.95,8.85,8.9,8.95,9,9
P07,5.95,6.9,6.8,6.9,5.6,6.35,6.2,6.25,5.35,5.8,5.5,6.1
P08,2.1,4.7,3.8,6.35,2.15,5.85,4.05,6.5,3.6,9,5.3,6.95
P09,1,1.25,9,8.6,1,1.2,8.95,8.7,8.9,9,9,8.95
P10,1.2,1.95,8.95,8.95,1,1,8.95,8.5,8.4,7.4,9,8.95
P11,5.45,5.65,4.7,7.2,5,4.65,5.2,7.35,5.85,5.6,5,6.9
P12,4.85,4.95,4.7,5.7,2.45,1,3.05,4,4.65,4.8,4.15,4.95
P13,4.6,7.9,7.55,8.8,5.2,7.5,7.8,8.85,5.85,7.8,7.45,7.85
P14,6,6.55,5.75,7.35,4.25,6.1,6.25,7.4,5.15,5.35,5.75,6.15
P15,3.8,4.95,7.8,7.25,3.8,4.65,7.75,7.3,5,5.45,7.75,7.3
P16,6.5,5.3,7.2,6.65,5.85,3.5,6.2,6.25,6.95,5.55,6.85,6.55
P17,6.4,6,6.3,5.9,5.45,5.1,6.3,5.3,6.7,6.15,5.95,5.9
P18,7.5,7.1,8.15,7.05,6.15,4.25,8.1,5.7,7.4,6.85,8.1,7.15
P19,8.85,9,9,8.8,1.9,1.4,6.25,8.6,8.45,8.6,5,8.2
P20,1,4.7,7.85,9,1,2.35,7.75,9,8.95,9,8.75,8.65
P21,8.6,9,9,9,7.95,9,9,9,8.6,9,9,9
P22,7.3,8,8,8,7.35,8.05,8,7.65,7.3,7.9,7.65,8
P23,5.55,6.4,5.7,6.05,3.15,5.35,7.85,5.55,6.6,6.7,7.65,6.95
P24,9,8.55,8.95,9,1.15,5.1,9,8.25,7.95,8.75,8.6,8.5
P25,8.95,9,8.9,9,8.9,9,9,9,8.6,9,8.7,8.25
P26,3.6,4.3,6.8,7,2.65,3.35,6.6,5.75,7.1,6.9,6.6,5.4
P27,5.45,3,7.25,5.95,5.1,1.2,7.3,6.75,6.25,3.9,7.5,6.4
P28,7.05,7.1,8.05,8.65,5.7,1,8.15,8.4,7.8,6.2,8,8.65
P29,7.4,8.45,8.85,7.3,1.15,1.4,7.85,7.8,8.85,8.95,8,6.5
P30,6.5,7.3,7.15,7.6,5.05,7.2,7.05,7.95,4.8,5.75,7.95,8.3
P31,5.1,5.1,6.6,5.95,3.3,3.85,6,6.15,5,4.95,5.8,5.95
P32,1.8,2.45,7.95,8.1,1.95,2.2,7.95,7.8,7.25,6.95,7.8,7.3
