participantNumber,rewardType,handShow,jointAgency,aligned(jointAgency) for rewardType,aligned(jointAgency) for handShow,aligned(jointAgency) for rewardType*handShow,ART(jointAgency) for rewardType,ART(jointAgency) for handShow,ART(jointAgency) for rewardType*handShow
P01,0.0,0.0,3.9,-2.7643495743860972218750,-2.1377014420182715484375,-2.0436120806706623031250,15,15,17
P01,0.0,1.0,4.2,-3.0035025700563626625000,-2.0131885785057950234375,-2.1072779398534042687500,12,17,16
P01,1.0,0.0,8.45,1.6101632891263793031250,0.6198492975758116640625,0.8894257954109443843750,91,75,83
P01,1.0,1.0,8.61111111111111,1.5830956775422708125000,0.9564475451744451390625,0.6868710473393124187500,90,81,76
P02,0.0,0.0,9.0,2.3356504256139027781250,2.9622985579817284515625,3.0563879193293376968750,126.5,126.5,126.5
P02,0.0,1.0,9.0,1.7964974299436373375000,2.7868114214942049765625,2.6927220601465957312500,97.5,120.5,119.5
P02,1.0,0.0,9.0,2.1601632891263793031250,1.1698492975758116640625,1.4394257954109443843750,120.5,91.5,103.5
P02,1.0,1.0,8.277777777777779,1.2497623442089398125000,0.6231142118411141390625,0.3535377140059814187500,83,76,63
P03,0.0,0.0,6.333333333333333,-0.3310162410527642218750,0.2956318913150614515625,0.3897212526626706968750,45,62,64
P03,0.0,1.0,7.9,0.6964974299436373375000,1.6868114214942049765625,1.5927220601465957312500,70,109,109
P03,1.0,0.0,6.75,-0.0898367108736206968750,-1.0801507024241883359375,-0.8105742045890556156250,54,33,37
P03,1.0,1.0,7.666666666666667,0.6386512330978278125000,0.0120031007300021390625,-0.2575733971051305812500,67.5,57.5,54.5
P04,0.0,0.0,6.666666666666667,0.0023170922805697781250,0.6289652246483954515625,0.7230545859960046968750,58,77,78
P04,0.0,1.0,8.95,1.7464974299436373375000,2.7368114214942049765625,2.6427220601465957312500,93,117,116
P04,1.0,0.0,8.25,1.4101632891263793031250,0.4198492975758116640625,0.6894257954109443843750,89,70,77
P04,1.0,1.0,8.88888888888889,1.8608734553200508125000,1.2342253229522251390625,0.9646488251170924187500,102.5,95.5,84.5
P05,0.0,0.0,8.5,1.8356504256139027781250,2.4622985579817284515625,2.5563879193293376968750,101,115,115
P05,0.0,1.0,9.0,1.7964974299436373375000,2.7868114214942049765625,2.6927220601465957312500,97.5,120.5,119.5
P05,1.0,0.0,8.9,2.0601632891263793031250,1.0698492975758116640625,1.3394257954109443843750,114.5,84.5,95.5
P05,1.0,1.0,8.95,1.9219845664311608125000,1.2953364340633351390625,1.0257599362282024187500,104.5,97.5,86.5
P06,0.0,0.0,8.7,2.0356504256139027781250,2.6622985579817284515625,2.7563879193293376968750,113,116,123
P06,0.0,1.0,9.0,1.7964974299436373375000,2.7868114214942049765625,2.6927220601465957312500,97.5,120.5,119.5
P06,1.0,0.0,9.0,2.1601632891263793031250,1.1698492975758116640625,1.4394257954109443843750,120.5,91.5,103.5
P06,1.0,1.0,8.95,1.9219845664311608125000,1.2953364340633351390625,1.0257599362282024187500,104.5,97.5,86.5
P07,0.0,0.0,5.823529411764706,-0.8408201626213912218750,-0.2141720302535655484375,-0.1200826689059563031250,38,53,56
P07,0.0,1.0,6.933333333333334,-0.2701692367230286625000,0.7201447548275389765625,0.6260553934799297312500,47,78,73
P07,1.0,0.0,6.777777777777778,-0.0620589330958426968750,-1.0523729246464103359375,-0.7827964268112776156250,55,34,38
P07,1.0,1.0,6.9,-0.1280154335688391875000,-0.7546635659366648609375,-1.0242400637717975812500,52,38,34
P08,0.0,0.0,2.2941176470588234,-4.3702319273272738218750,-3.7435837949594481484375,-3.6494944336118389031250,8,9,9
P08,0.0,1.0,5.2,-2.0035025700563626625000,-1.0131885785057950234375,-1.1072779398534042687500,20,36,32
P08,1.0,0.0,3.7222222222222223,-3.1176144886513983968750,-4.1079284802019660359375,-3.8383519823668333156250,10,7,8
P08,1.0,1.0,6.35,-0.6780154335688391875000,-1.3046635659366648609375,-1.5742400637717975812500,41,27,26
P09,0.0,0.0,1.0,-5.6643495743860972218750,-5.0377014420182715484375,-4.9436120806706623031250,2.5,1.5,2.5
P09,0.0,1.0,1.25,-5.9535025700563626625000,-4.9631885785057950234375,-5.0572779398534042687500,1,3,1
P09,1.0,0.0,9.0,2.1601632891263793031250,1.1698492975758116640625,1.4394257954109443843750,120.5,91.5,103.5
P09,1.0,1.0,8.68421052631579,1.6561950927469508125000,1.0295469603791251390625,0.7599704625439924187500,92,83,79
P10,0.0,0.0,1.2,-5.4643495743860972218750,-4.8377014420182715484375,-4.7436120806706623031250,4,4,4
P10,0.0,1.0,1.95,-5.2535025700563626625000,-4.2631885785057950234375,-4.3572779398534042687500,5,5,5
P10,1.0,0.0,8.95,2.1101632891263793031250,1.1198492975758116640625,1.3894257954109443843750,116.5,86.5,98.5
P10,1.0,1.0,9.0,1.9719845664311608125000,1.3453364340633351390625,1.0757599362282024187500,108.5,102.5,90.5
P11,0.0,0.0,5.526315789473684,-1.1380337849124132218750,-0.5113856525445875484375,-0.4172962911969783031250,32,46,49
P11,0.0,1.0,5.65,-1.5535025700563626625000,-0.5631885785057950234375,-0.6572779398534042687500,25,44,42
P11,1.0,0.0,5.1875,-1.6523367108736206968750,-2.6426507024241883359375,-2.3730742045890556156250,24,12,12
P11,1.0,1.0,7.2,0.1719845664311608125000,-0.4546635659366648609375,-0.7242400637717975812500,59,48,40
