participantNumber,rewardType,handShow,jointAgency
P01,0.0,0.0,3.9
P01,0.0,1.0,4.2
P01,1.0,0.0,8.45
P01,1.0,1.0,8.61111111111111
P02,0.0,0.0,9.0
P02,0.0,1.0,9.0
P02,1.0,0.0,9.0
P02,1.0,1.0,8.277777777777779
P03,0.0,0.0,6.333333333333333
P03,0.0,1.0,7.9
P03,1.0,0.0,6.75
P03,1.0,1.0,7.666666666666667
P04,0.0,0.0,6.666666666666667
P04,0.0,1.0,8.95
P04,1.0,0.0,8.25
P04,1.0,1.0,8.88888888888889
P05,0.0,0.0,8.5
P05,0.0,1.0,9.0
P05,1.0,0.0,8.9
P05,1.0,1.0,8.95
P06,0.0,0.0,8.7
P06,0.0,1.0,9.0
P06,1.0,0.0,9.0
P06,1.0,1.0,8.95
P07,0.0,0.0,5.823529411764706
P07,0.0,1.0,6.933333333333334
P07,1.0,0.0,6.777777777777778
P07,1.0,1.0,6.9
P08,0.0,0.0,2.2941176470588234
P08,0.0,1.0,5.2
P08,1.0,0.0,3.7222222222222223
P08,1.0,1.0,6.35
P09,0.0,0.0,1.0
P09,0.0,1.0,1.25
P09,1.0,0.0,9.0
P09,1.0,1.0,8.68421052631579
P10,0.0,0.0,1.2
P10,0.0,1.0,1.95
P10,1.0,0.0,8.95
P10,1.0,1.0,9.0
P11,0.0,0.0,5.526315789473684
P11,0.0,1.0,5.65
P11,1.0,0.0,5.1875
P11,1.0,1.0,7.2
P12,0.0,0.0,4.894736842105263
P12,0.0,1.0,4.95
P12,1.0,0.0,5.0625
P12,1.0,1.0,5.7
P13,0.0,0.0,5.3125
P13,0.0,1.0,7.947368421052632
P13,1.0,0.0,8.0625
P13,1.0,1.0,8.88888888888889
P14,0.0,0.0,6.375
P14,0.0,1.0,6.7368421052631575
P14,1.0,0.0,5.875
P14,1.0,1.0,7.388888888888889
P15,0.0,0.0,3.8
P15,0.0,1.0,4.923076923076923
P15,1.0,0.0,7.8
P15,1.0,1.0,7.368421052631579
P16,0.0,0.0,6.5
P16,0.0,1.0,5.461538461538462
P16,1.0,0.0,7.2
P16,1.0,1.0,6.684210526315789
P17,0.0,0.0,6.4
P17,0.0,1.0,6.0
P17,1.0,0.0,6.315789473684211
P17,1.0,1.0,6.333333333333333
P18,0.0,0.0,7.5
P18,0.0,1.0,7.1
P18,1.0,0.0,8.210526315789474
P18,1.0,1.0,7.666666666666667
P19,0.0,0.0,9.0
P19,0.0,1.0,9.0
P19,1.0,0.0,9.0
P19,1.0,1.0,8.789473684210526
P20,0.0,0.0,1.0
P20,0.0,1.0,4.7
P20,1.0,0.0,7.8
P20,1.0,1.0,9.0
P21,0.0,0.0,9.0
P21,0.0,1.0,9.0
P21,1.0,0.0,9.0
P21,1.0,1.0,9.0
P22,0.0,0.0,7.777777777777778
P22,0.0,1.0,8.0
P22,1.0,0.0,8.0
P22,1.0,1.0,8.0
P23,0.0,0.0,5.473684210526316
P23,0.0,1.0,6.230769230769231
P23,1.0,0.0,5.7
P23,1.0,1.0,6.133333333333334
P24,0.0,0.0,9.0
P24,0.0,1.0,8.538461538461538
P24,1.0,0.0,8.95
P24,1.0,1.0,9.0
P25,0.0,0.0,8.95
P25,0.0,1.0,9.0
P25,1.0,0.0,8.9
P25,1.0,1.0,9.0
P26,0.0,0.0,3.6
P26,0.0,1.0,4.3
P26,1.0,0.0,6.8
P26,1.0,1.0,7.2105263157894735
P27,0.0,0.0,5.533333333333333
P27,0.0,1.0,2.8947368421052633
P27,1.0,0.0,8.2
P27,1.0,1.0,6.0588235294117645
P28,0.0,0.0,7.333333333333333
P28,0.0,1.0,7.157894736842105
P28,1.0,0.0,9.0
P28,1.0,1.0,9.0
P29,0.0,0.0,7.470588235294118
P29,0.0,1.0,8.5
P29,1.0,0.0,8.823529411764707
P29,1.0,1.0,7.333333333333333
P30,0.0,0.0,6.411764705882353
P30,0.0,1.0,7.666666666666667
P30,1.0,0.0,7.294117647058823
P30,1.0,1.0,8.2
P31,0.0,0.0,5.333333333333333
P31,0.0,1.0,5.071428571428571
P31,1.0,0.0,6.588235294117647
P31,1.0,1.0,6.333333333333333
P32,0.0,0.0,1.7777777777777777
P32,0.0,1.0,2.4285714285714284
P32,1.0,0.0,8.176470588235293
P32,1.0,1.0,8.2
