partiNumber,trialNumber,blockNumber,rewardType,handShow,pairClickCount,successCount,failCount,stalemate,gameClear,playTime,P1_realPoints,P2_realPoints,P1_earnedPoints,P2_earnedPoints,FOC,competitiveness,rewardFairness, P1_accScore, P2_accScore
P14,0,0,0,0,8,4,4,FALSE,FALSE,23.00158,10,4,0,0,7,3,5,0,0
P14,1,0,0,0,10,2,8,FALSE,FALSE,23.01308,8,2,0,0,4,4,5,0,0
P14,2,0,0,0,8,8,0,FALSE,TRUE,17.57071,8,8,5,5,7,6,9,5,5
P14,3,0,0,0,8,8,0,FALSE,TRUE,14.95253,8,8,5,5,6,2,7,10,10
P14,4,0,0,0,9,7,2,TRUE,TRUE,19.93647,9,7,6,4,7,6,7,16,14
P14,5,0,0,0,12,4,8,FALSE,FALSE,23.01274,6,4,0,0,4,1,5,16,14
P14,6,0,0,0,10,6,4,FALSE,TRUE,18.64148,10,6,7,3,7,3,3,23,17
P14,7,0,0,0,10,6,4,FALSE,TRUE,18.32238,10,6,7,3,6,3,5,30,20
P14,8,0,0,0,10,6,4,FALSE,FALSE,23.0118,2,6,0,0,3,3,4,30,20
P14,9,0,0,0,8,8,0,FALSE,TRUE,14.98081,8,8,5,5,6,4,5,35,25
P14,10,0,0,0,9,7,2,TRUE,TRUE,18.14109,9,7,6,4,7,4,3,41,29
P14,11,0,0,0,9,7,2,TRUE,TRUE,17.41664,9,7,6,4,7,7,4,47,33
P14,12,0,0,0,12,8,4,FALSE,TRUE,22.88872,8,8,5,5,6,4,7,52,38
P14,13,0,0,0,8,6,2,FALSE,TRUE,18.43339,10,6,7,3,6,3,4,59,41
P14,14,0,0,0,12,10,2,FALSE,TRUE,21.05072,6,10,3,7,6,6,6,62,48
P14,15,0,0,0,8,6,2,FALSE,TRUE,16.17828,10,6,7,3,6,3,4,69,51
P14,16,0,0,0,12,6,6,FALSE,TRUE,22.6928,10,6,7,3,6,6,6,76,54
P14,17,0,0,0,8,6,2,FALSE,TRUE,16.47047,10,6,7,3,7,7,7,83,57
P14,18,0,0,0,8,6,2,FALSE,TRUE,14.68782,10,6,7,3,6,6,3,90,60
P14,19,0,0,0,10,8,2,FALSE,TRUE,15.46797,8,8,5,5,6,4,4,95,65
P14,20,1,0,1,12,6,6,FALSE,TRUE,23.01375,10,6,7,3,7,4,6,102,68
P14,21,1,0,1,8,6,2,FALSE,TRUE,15.13327,10,6,7,3,7,6,6,109,71
P14,22,1,0,1,10,6,4,FALSE,TRUE,19.11499,10,6,7,3,7,6,4,116,74
